product_name,product_price,product_description
Sunflower Handmade Soap Bar,$9.99,Enjoy the rejuvenating scent and exfoliating properties of natural sunflower petals in this handmade soap bar.
Golden Glow Face Oil,$25.99,Nourish and brighten skin with jojoba and rosehip oil.
Snugli baby carrier,$59.99,"Convenient, comfortable carrier for hands-free baby carrying."
Harmony Earrings,$49.99,"Delicate, gold-plated earrings with crystal accents."
Snapzoom,$89.95,Universal smartphone telescope adapter.
Smart Lock,$99.99,Keyless home entry with phone app.
Whirlpool 24-inch Stainless Steel Dishwasher,$699.99,Efficient and quiet dishwashing performance.
Reflective Hazard Tape,$9.99,High visibility caution tape for safety in low-light environments.
Dragon Quest Builders 2,$49.99,"Build, explore, and fight in this block-building RPG."
Stealthy Cam,$89.99,Compact 1080p HD camera with night vision.
Dash Crab FX Dashboard Cell Phone Holder,$27.99,"Convenient, sturdy phone holder for your car dashboard."
Don't Sweat Copper Fittings,$25.99,No solder - quick & easy plumbing.
ReedGeek Black Diamond G4,$149.99,Precision reed adjustment tool for woodwind instruments.
Earthy Earrings,$35,"Handmade, boho-style clay and bead earrings."
Maldon Sea Salt Flakes,$5.49,Artisanal salt for gourmet cooking.
Digital Force Gauge,$299.00,Measure force up to 1000N with digital accuracy.
Mophie Powerstation,$79.95,Portable charger for phones and tablets.
Colorful Shakers,$9.99,Add rhythm to your music with these eye-catching shakers.
Cozy Cotton Throw Blanket,$39.99,"Soft and warm, perfect for snuggling up."
Mini Fridge,$89.99,Keeps your drinks and snacks cool and easily accessible.
Flame Wave LED Bulb,$19.99,Create a cozy ambiance with flickering flames.
Solar Wind Chime,$25.99,Decorative chimes with color changing lights.
Wink Hub 2 - Smart Home Controller,$99.00,Connect all of your smart devices.
Nature's Way Elderberry Gummies,$19.99,Immune Support Gummies with Antioxidants & Vitamin C.
Divine Chocolate Milk Chocolate with Toffee and Sea Salt,$5.99,Creamy milk chocolate with crunch.
Vitamin C Supplement Gummies,$14.99,Boost your immune system with delicious gummies.
Cozy Knit Headband,$12.99,Stay warm and stylish this winter with this soft and comfortable headband.
"""The Book Thief""",$12.99,A poignant novel set in Nazi Germany.
ScreenFlow 9,$129,Easy-to-use screen recording and video editing software.
Safety Goggles,$12.99,Protective eyewear for industrial work.
Mountain Hiker Backpack,$89.99,Water-resistant backpack for all your adventures.
Desk Organizer Tray,$24.99,Streamlined tray for essential desk organization.
Instant Film Camera,$99,Capture memories on the go with instant prints.
Zoom Clip-On Lens,$39.99,Enhance phone camera zoom capabilities.
Trailhead Fleece Blanket,$39.99,"Soft, cozy blanket perfect for camping and outdoor adventures."
Swingline Stapler,$15.99,A timeless classic for all your stapling needs.
Twist Whisk,$20,Innovative whisk with twisting handle for better mixing.
Chew It Toy,$9.99,Entertaining toy for your furry friend.
Artesia Wood Accent Cabinet,$199.99,"Perfect for small spaces, this stylish cabinet adds storage and charm."
Wire Stripper and Cutter,$16.99,Professional grade tool for stripping and cutting wire.
AutoGuard Steering Wheel Lock,$79.99,Protect your vehicle with a heavy-duty lock.
Herbal Tea Sampler Set,$19.99,A delicious and calming blend of different herbal teas to soothe your soul.
FastCap T23329-A Tape Measures,$14.99,Self-locking tape measure with pencil sharpener.
Crystal Drop Earrings,$29.99,Sparkling earrings for a touch of elegance.
Watercolor Brush Pen Set,$19.99,Vibrant and blendable colors for painting and calligraphy.
LED Garage Light,$29.99,Brighten up your garage with energy-efficient lighting.
Fabric Paint Pens Set,$14.99,Brighten up your fabric with these colorful pens.
Garden Gnome with Solar Light,$24.99,Adorable gnome statue with solar-powered lantern.
Gelli Arts Gel Printing Plate,$39.99,"Create unique, texture-rich prints with ease."
Roosebeck Deluxe 4-Course Baroque Guitar,"$1,129.00",Handcrafted with a solid spruce top – captivating sound.
Rubbermaid Commercial Products Brute Tote Storage Container with Lid,$28.99,A durable storage solution for heavy-duty use.
Kaplan Upholstered Panel Headboard,$149.99,Add a touch of elegance to your bedroom with this upholstered headboard.
KitchenAid Hand Blender,$59.99,"Versatile hand blender ideal for blending, pureeing, and crushing ice, with multiple speeds and attachments."
Cell Phone Case,$19.99,Protect your phone in style.
Juno Watch,$199.99,Classic style meets modern technology.
Memo Board,$9.99,Keep important notes visible.
Bamboo Desk Organizer Tray Set,$29.99,Keep desk neat and tidy.
Ultimate Reflex Ball Set,$14.99,Improve hand-eye coordination with this fun game.
Picasso,$299.99,Sophisticated digital camera with advanced photo effects.
Colorful Craft Felt Sheets,$9.99,Assorted pack of 20 vibrant felt sheets for crafting.
Floral Print Scarf,$19.99,A lightweight scarf with a beautiful floral design.
The Big Lebowski 20th Anniversary Edition (Blu-ray),$14.99,The ultimate cult classic; Jeff Bridges as The Dude abides in this remastered edition.
Pixelate LED Clock,$49.99,Bold and colorful LED display for telling time.
Fender Cover,$24.99,Protects car fender from scratches and dings.
"""The Nightingale""",$16.99,A WWII novel of two sisters in occupied France.
AutoProTech,$39.99,"Protects car finishes, wheels, & trims from rust & corrosion."
PopSockets PopGrip,$14.99,Secure phone grip and stand.
Logitech M510 Wireless Mouse,$29.99,Ergonomic wireless mouse with advanced tracking.
Firefield Nightfall 4x50 Night Vision Monocular,$199.99,See in the dark with precision.
Solar Hummingbird Wind Chime,$24.99,Solar-powered hummingbird wind chime for a colorful yard decoration.
Flexispot Standing Desk Converter,$119.99,Convert your desk to a standing desk in seconds.
Desk Fan,$29.99,Stay cool at work with this oscillating desk fan.
Sous Vide Cooker,$99.99,Precise temperature control for perfect cooking every time.
Kinsa Smart Thermometer,$24.98,"Quick, accurate temperature readings with app-guided diagnoses."
Car Seat Cushion,$39.99,Adds extra comfort to any car seat.
Emery Dresser,$449.99,"Sleek, 6-drawer dresser with minimal style."
Honeycomb Soap,$8.99,"Luxurious, handcrafted soap made with organic honey."
Rick and Morty: Season 1,$14.99,Animated sci-fi adventures of a mad scientist and his grandson.
NutriBullet PRO Blender,$79.99,Blend smoothies in seconds.
The Alchemist,$16.99,Inspirational journey of self-discovery.
Vintage French Wine Crate,$69.99,Authentic wooden crate from Burgundy region.
TurboChill Portable AC,$399.99,"Stay cool anywhere, anytime."
Grapefruit Knife,$6.99,Serrated edge for easy slicing.
Rose Quartz Roller,$29.99,Facial Massage Roller for healthy skin.
SmartCharge,$29.99,A car charger with automatic power management for efficient charging.
Suspend Game,$16.99,Unique game of balance and strategy.
The Alchemist,$15.99,A timeless tale of following your dreams.
The Starry Night by Van Gogh,$150,Authentic museum-quality reproduction.
Norton 360 Deluxe,$39.99,All-in-one protection for your digital life.
Waterpik Water Flosser,$69.99,Cleans deep between teeth and below gumline.
Clear Armor Case,$19.99,Protects your phone from scratches and cracks.
Lily Solar Flower Garden Stake,$19.99,Illuminate your garden with colorful solar-powered flowers.
Hair Growth Shampoo,$20.99,Strengthen and thicken hair with natural extracts.
Great Papers! Colorful Border Letterhead,$9.99,Colorful letterhead for professional communication.
Slip-On Sneakers,$49.99,Sporty & comfortable slip-on shoes.
Ultra Fine Point Permanent Marker Set,$12.99,High-quality markers for precise details.
Cyberpunk 2077,$59.99,Futuristic open-world action game set in a dystopian city.
Pop-Up Pirate Game,$12.99,Fun game of suspense and surprise for all ages.
Crimson Trail Backpack,$79.99,Durable hiking backpack with hydration system compatibility.
DIY Blanket Kit,$29.99,Create a cozy blanket from scratch.
Paper Mate Flair Felt Tip Pens,$14.99,Smudge-proof and bold colors for a flawless writing experience.
Uncommon Type,$15.99,A collection of short stories by actor Tom Hanks.
Phoenix Decor Boho Throw Pillow Covers,$22.99,A set of four 18x18 inch bohemian style pillow covers to add a pop of color to your home decor.
Silver Sea Glass Necklace,$50.00,Handmade with authentic sea glass.
Roma,$12.99,Oscar-winning foreign language drama.
Nexus 6P,$299,Premium Android smartphone with fingerprint sensor.
Amber Natural Soap,$8.99,Handmade soap with organic oils and real amber.
Mystic Table,$299,"Modern, multi-functional side table with hidden storage."
Stratus Armchair,$499.99,Mid-century modern inspired armchair with wood legs.
Trailblazer Fire Starter,$19.99,Start fires easily on your next adventure.
Foam Roller,$29.99,Relieve tension and sore muscles with this versatile foam roller.
Mod Podge Dishwasher Safe Gloss,$11.99,Protects and seals painted surfaces on dishwasher-safe projects.
SkyMat Anti-Fatigue Comfort Mat,$39.99,"Relieves stress on feet, knees, and back."
TechMatte Qi Wireless Charging Pad,$14.99,Wirelessly charge your device with ease.
The Alchemist,$14.99,Classic novel about a shepherd's journey of self-discovery.
Solar-Powered LED Lantern,$29.99,Illuminate your outdoor space with this eco-friendly lantern.
Dino Building Blocks,$19.99,Build a T-Rex with these colorful blocks.
Mod Podge Waterbase Sealer,$5.99,Water-based sealer perfect for decoupage and crafts.
Polar M430 GPS Running Watch,$199.95,Track your progress with GPS accuracy.
Bundle of Joy Gift Set,$49.99,Perfect gift for new moms and dads.
Retro Arcade Game Console,$99.99,Relive classic gaming with this all-in-one console.
Silhouette Mint Custom Stamp Maker,$149.99,Create custom stamps in minutes.
Noise-Cancelling Headphones,$199.99,Immerse yourself in pure sound.
Trailblaze Camping Cookware Set,$24.99,"Compact, lightweight, and durable cookware set for the ultimate camping experience."
Avengers: Endgame - Thanos Gallery,$49.99,Sculpted PVC statue of Thanos from Avengers: Endgame.
Rose Quartz Facial Roller Set,$29.99,Soothe and de-puff your skin with this natural stone tool set.
Rubbermaid Commercial Products Brute Tote Storage Container with Lid,$32.54,Heavy-duty container with snap-on lid for storage and transportation.
Logitech K810 Bluetooth Illuminated Keyboard,$99.99,Wireless keyboard with backlit keys for comfortable typing in any lighting.
Polybius,$19.99,Retro arcade-style shooter.
Mesh Strap Analog Watch,$39.99,Sleek and simple design.
Norton Secure VPN,$7.99/month,Protect your online privacy and identity.
Stick Vacuum,$89.99,"Powerful suction, lightweight design."
Baby Milestone Blanket,$19.99,Capture their growth with ease.
SoundBoost Mini,$29.99,Portable mini speaker for amplified sound.
Lotus Wood Guiro,$26.99,Hand-carved wooden percussion instrument.
Snap Instant Digital Camera,$89.99,Instant prints with built-in flash.
Smartwatch Pro 2,$249.99,Advanced fitness tracking and phone capabilities.
Luna Moon Earrings,$22.99,Handmade polymer clay earrings with lunar design.
Rainbow Sticky Notes,$5.99,Brighten up your notes with a pop of color.
Air Purifier for Cars,$39.99,Improve air quality while driving.
TowerFall Ascension,$19.99,Frenzied archery battles for up to 4 players.
Crystal Heart Pendant Necklace,$29.99,Elegant necklace with a sparkling heart pendant.
Sun Shade Set,$29.99,Keep your car cool with this set of front and rear sun shades.
Smart Circuit Puzzle,$25.99,A fun and challenging way to learn about circuits and electricity.
CozyKeep,$29.99,Cozy swaddle with adjustable wrap for newborns.
Momo Design Pilot Automatic Watch,$890,Iconic Italian design with automatic movement.
Salton Electric Omelette Maker,$29.99,Make delicious omelettes in minutes.
Criterion Collection: The Before Trilogy,$79.99,A cinematic masterpiece exploring love and identity.
Hand-signed Indiana Pacers jersey,$599.99,Authentic autographed NBA memorabilia.
Gone Girl,$9.99,A thrilling mystery about a missing wife.
PetSafe ScoopFree Ultra Self-Cleaning Cat Litter Box,$169.95,Automatic self-cleaning litter box for cats.
Fujifilm Instax Mini Film Value Pack,$39.99,Instantly print your captured memories with this value pack of film.
PetSafe Simply Feed Automatic Feeder,$99.95,Precisely feeds meals to pets on a customizable schedule.
Air Fryer,$89.99,Fast and healthy cooking with little oil.
The Mariner,$159.99,A waterproof watch for sailors.
Zipper Pouch,$4.99,Small clear pouch for office supplies.
Solar Hummingbird Wind Chime,$24.99,Beautiful melody and solar-powered lights for decoration.
Tire Traction Mats,$25,Get unstuck from mud and snow.
Titan Analog Black Dial Men's Watch,$65.99,Classic and versatile timepiece with sleek design.
Baby Jogger City Mini GT2 Stroller,$399.99,All-terrain stroller with adjustable handlebar.
Pixel Perfect Photo Book,$45.99,"High-quality, fully-customizable photo book."
Retro Arcade Game Keychain,$9.99,Mini arcade games on-the-go.
PetSafe Easy Walk Dog Harness,$19.95,Anti-pull harness for dogs.
Popcornopolis Zebra Popcorn,$4.99,Sweet and crunchy snack with dark and white chocolate stripes.
WoofieFur,$19.99,Keep your furry friend warm and cozy with this soft blanket.
CozyMe Baby Onesie,$19.99,Soft cotton onesie with adorable animal ears.
Matcha Green Tea Kit-Kat,$5.99,Crunchy wafer bars with sweet green tea flavor.
Flow Motion Activated Kitchen Faucet,$149.99,"Hands-free, motion-activated faucet for easy kitchen use."
Mahogany Ukulele,$69.99,"Beautifully crafted, rich sound, compact size."
Cleanse and Detox Tea,$14.99,Cleanse and detoxify your body with this tasty tea.
Rose Quartz Facial Roller,$24.99,Soothe and de-puff skin with this cooling crystal roller.
Aventura,$199.99,Sleek black leather strap watch with gold accents.
The Emily Tote Bag,$59.99,A stylish and spacious vegan leather tote perfect for work or play.
iOttie Wireless Car Charger,$54.95,Charge your phone safely and easily while driving.
Spice Clip Set,$9.99,Keep your spice bottles together and organized with this set of spice clips that easily attach to cabinet doors.
Jellyfish Squishmallow Plush,$19.99,"Soft, huggable, and perfect for snuggling."
Mr. Beams MB723 Wireless Motion-Sensing Mini Stick-Anywhere LED Nightlights,$14.99,Motion-sensing LED nightlights for dark spaces.
Cat Shaped Scratcher,$19.99,A cute and functional scratcher for your feline friend.
Twist Whisk,$14.99,A more efficient whisk with a twisting handle.
C shaped side table,$89.99,Convenient spot for drinks and snacks.
Beach Tent,$99.99,Instant shade for beach trips.
Bloom Box,$39.99,Pre-planted annual flower garden.
Solar Powered Garden Lights,$29.99,Illuminate your garden with renewable energy.
PixelCam,$129.99,Capture 360-degree panorama photos and videos.
Spinning Tops,$6.99,Classic toy for endless entertainment.
LifeBelt Stool,$149.99,Unique and functional stool with a built-in storage compartment.
